#{"t_start": 1782893847.1539638, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
16.133952,57,1.563611,-100.0,3.8721301555633545,0
16.177256,57,1.629348,-100.0,3.4837021827697754,0
5.184257,100,1.736434,-100.0,1.1436669826507568,0
23.481495,99,1.842455,-100.0,3.1221225261688232,0
10.584422,82,1.933464,-100.0,3.1389987468719482,0
20.694397,140,2.08276,-100.0,2.631744384765625,0
23.407113,107,2.210021,-100.0,6.097294807434082,0
9.259625,113,2.329853,-100.0,0.0463637039065361,0
9.71279,92,2.43034,-100.0,0.09969579428434372,0
16.490223,68,2.503511,-100.0,3.136596441268921,0
9.958896,76,2.586688,-100.0,1.7215468883514404,0
24.425946,94,3.51488,-100.0,5.978610515594482,0
22.452175,134,3.657816,-100.0,5.96008825302124,0
20.585917,88,3.760296,-100.0,2.1423768997192383,0
33.525354,112,3.880891,-100.0,6.373324871063232,0
21.702306,83,3.982164,-100.0,5.060246467590332,0
29.118467,136,4.119172,-100.0,3.1111316680908203,0
18.257998,130,4.248593,-100.0,0.04869597405195236,0
21.833519,103,4.350035,-100.0,2.750622272491455,0
14.254668,95,4.468549,-100.0,2.9675891399383545,0
3.209525,74,4.545757,-100.0,-0.256468266248703,0
10.19684,110,5.574989,-100.0,0.06761801987886429,0
23.424052,134,5.73162,-100.0,1.9017401933670044,0
16.762772,134,5.889855,-100.0,1.2655770778656006,0
19.386515,115,6.022034,-100.0,3.080315589904785,0
19.849773,94,6.118596,-100.0,2.3348050117492676,0
17.445666,64,6.182574,-100.0,2.943011522293091,0
10.012638,109,6.300714,-100.0,1.7414857149124146,0
17.069246,70,6.373718,-100.0,5.013976573944092,0
22.856279,103,6.496285,-100.0,2.2607028484344482,0
16.333971,74,6.596922,-100.0,1.4194945096969604,0
21.608553,124,7.757533,-100.0,2.4953348636627197,0
13.450511,75,7.862048,-100.0,1.407370924949646,0
17.067249,99,7.998645,-100.0,2.1766936779022217,0
25.335113,110,8.154898,-100.0,5.4035186767578125,0
16.492209,65,8.25942,-100.0,4.051734447479248,0
16.070449,92,8.386026,-100.0,2.039853811264038,0
14.738697,111,8.562136,-100.0,-0.007527637295424938,0
22.455828,72,8.672694,-100.0,4.871264457702637,0
14.681523,104,8.879351,-100.0,2.2927210330963135,0
18.831282,77,8.994876,-100.0,2.536679267883301,0
16.597391,58,9.071122,-100.0,3.9455814361572266,0
23.235599,69,10.088718,-100.0,5.994744300842285,0
16.79561,77,10.196707,-100.0,3.9547412395477295,0
32.088242,138,10.380657,-100.0,3.138446807861328,0
25.058451,153,10.62661,-100.0,1.8596560955047607,0
24.051867,136,11.102799,-100.0,4.799005508422852,0
19.478878,111,11.286928,-100.0,5.134294033050537,0
22.630425,128,11.477043,-100.0,4.742710590362549,0
14.487937,80,11.589663,-100.0,1.8103328943252563,0
22.771085,122,11.754879,-100.0,2.8991551399230957,0
22.176701,75,12.894017,-100.0,5.267748832702637,0
24.298581,109,13.046939,-100.0,2.663830518722534,0
20.368428,82,13.15535,-100.0,2.547184944152832,0
16.32502,120,13.418529,-100.0,0.2527889013290405,0
23.187135,138,13.670455,-100.0,2.469674825668335,0
17.424182,83,13.834721,-100.0,3.652313232421875,0
24.777654,83,13.978079,-100.0,5.368579864501953,0
24.216698,136,14.180757,-100.0,1.9718537330627441,0
21.237191,126,14.400131,-100.0,4.116842269897461,0
31.379808,158,15.772414,-100.0,1.6332389116287231,0
32.741922,152,16.085192,-100.0,3.249354362487793,0
17.740454,86,16.208704,-100.0,2.9566445350646973,0
20.892439,99,16.348107,-100.0,2.3524258136749268,0
