#{"t_start": 1782915209.1941297, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-28.031271,92,1.38595,-100.0,-2.3815431594848633,0
-32.702165,116,1.510188,-100.0,-2.7472574710845947,0
-56.146902,120,1.644331,-100.0,-3.107332229614258,0
-22.687734,80,1.72817,-100.0,-2.804392099380493,0
-18.624674,75,1.809435,-100.0,-3.010885238647461,0
2.157084,75,1.885355,-100.0,11.621060371398926,0
-62.295132,69,1.95897,-100.0,-3.534113645553589,0
-112.139224,100,2.059818,-100.0,-4.012814521789551,0
-37.442849,106,2.167853,-100.0,3.3709731101989746,0
-71.744676,105,2.274163,-100.0,-3.2232115268707275,0
-111.213171,106,3.145968,-100.0,-2.0579895973205566,0
-21.005981,100,3.246746,-100.0,-2.8213882446289062,0
-18.435688,93,3.359331,-100.0,-2.920588970184326,0
-27.949418,92,3.449253,-100.0,-2.9065396785736084,0
-76.470387,116,3.573838,-100.0,-1.5912511348724365,0
-22.425252,82,3.65607,-100.0,-2.6235830783843994,0
-46.126832,73,3.729263,-100.0,-2.3882827758789062,0
-31.690771,61,3.794856,-100.0,-2.718160390853882,0
-18.9153,60,3.861073,-100.0,-2.913036584854126,0
-58.373708,81,3.947983,-100.0,-1.5848709344863892,0
-26.97759,112,4.064084,-100.0,-1.8298805952072144,0
-90.641982,92,4.153611,-100.0,-1.799939513206482,0
-73.276299,74,4.982653,-100.0,-4.475607395172119,0
-56.464261,120,5.103583,-100.0,-0.5540526509284973,0
-89.175777,95,5.198602,-100.0,-3.117713212966919,0
-89.833448,82,5.28079,-100.0,-1.9030487537384033,0
-19.623737,74,5.355915,-100.0,-2.868145227432251,0
-44.614004,96,5.448586,-100.0,-2.4457695484161377,0
-26.862029,78,5.529066,-100.0,-2.6435515880584717,0
-26.198371,76,5.615146,-100.0,-2.3371405601501465,0
-25.365203,69,5.730273,-100.0,0.3064306378364563,0
-51.120799,73,5.821452,-100.0,-2.1037795543670654,0
-113.686094,98,5.928705,-100.0,-2.5454394817352295,0
11.107815,76,6.013504,-100.0,17.097469329833984,0
-82.274914,124,6.898185,-100.0,-2.0371170043945312,0
-70.352611,87,6.98335,-100.0,-3.056213617324829,0
-56.114594,130,7.110798,-100.0,-0.9896915555000305,0
-65.428168,82,7.18895,-100.0,-1.8885164260864258,0
-43.687739,133,7.3368,-100.0,0.817834734916687,0
-36.981332,79,7.425218,-100.0,-2.892233371734619,0
-100.938157,97,7.535718,-100.0,-3.464416742324829,0
-19.333115,95,7.630376,-100.0,-2.0540645122528076,0
-25.873218,72,7.707652,-100.0,-2.829740285873413,0
-49.514487,105,7.813939,-100.0,-3.045637607574463,0
-39.526867,111,8.645167,-100.0,-2.3915107250213623,0
-32.848623,105,8.748786,-100.0,-3.193615198135376,0
-53.186086,109,8.863106,-100.0,-1.0067968368530273,0
-105.922419,107,8.97026,-100.0,-3.7068653106689453,0
-11.010876,60,9.030695,-100.0,-3.1293225288391113,0
-10.627531,68,9.100542,-100.0,1.1122252941131592,0
-69.197707,109,9.210967,-100.0,-1.8854396343231201,0
-59.141099,109,9.319047,-100.0,-3.264702558517456,0
-92.614397,112,9.441233,-100.0,-3.7885053157806396,0
-64.236136,82,9.527216,-100.0,-3.151451349258423,0
-32.316062,79,9.607546,-100.0,-2.7275052070617676,0
-53.675105,98,10.428949,-100.0,-1.1000953912734985,0
-33.257558,98,10.539951,-100.0,0.724842369556427,0
-2.199536,78,10.620319,-100.0,5.258339881896973,0
-38.4761,73,10.695527,-100.0,-1.8545489311218262,0
-115.319259,114,10.878021,-100.0,-4.492340564727783,0
-32.984848,63,10.953539,-100.0,-2.1605660915374756,0
-3.188993,67,11.029373,-100.0,5.794768810272217,0
-43.067914,92,11.127649,-100.0,-2.05153226852417,0
-16.83609,62,11.207976,-100.0,-2.9112563133239746,0
-16.788674,91,11.309442,-100.0,-3.1684377193450928,0
-7.593524,90,11.411831,-100.0,6.263485908508301,0
-69.407113,107,11.524159,-100.0,-3.762381076812744,0
-24.935345,73,12.334254,-100.0,-3.251298189163208,0
-30.830924,136,12.475603,-100.0,0.6409497857093811,0
-41.103497,90,12.580932,-100.0,-3.340338706970215,0
9.327953,70,12.651328,-100.0,17.28168296813965,0
-67.344307,127,12.788061,-100.0,-2.252747058868408,0
-47.229964,118,12.916031,-100.0,-2.870668888092041,0
-38.218,106,13.023786,-100.0,-2.9279088973999023,0
-36.003813,105,13.12785,-100.0,-1.6777222156524658,0
-35.453543,77,13.20527,-100.0,-0.6743528246879578,0
-16.445368,66,13.274251,-100.0,-2.3970890045166016,0
-13.097195,61,13.33642,-100.0,-3.2856953144073486,0
-59.224648,124,14.228499,-100.0,-1.7241222858428955,0
-25.195806,112,14.33993,-100.0,0.14372117817401886,0
-18.02608,99,14.437301,-100.0,4.6698455810546875,0
-14.442422,59,14.500287,-100.0,-1.1087093353271484,0
-46.635058,115,14.619904,-100.0,-0.658977746963501,0
-18.848213,74,14.698652,-100.0,-3.1571712493896484,0
-15.588276,62,14.76521,-100.0,-3.07818865776062,0
-47.49459,93,14.878787,-100.0,-3.3877646923065186,0
-40.576362,75,14.968874,-100.0,-2.792931079864502,0
14.988278,61,15.04787,-100.0,16.78866958618164,0
1.95238,69,15.13447,-100.0,11.19921588897705,0
-25.209561,67,15.221288,-100.0,-2.2201170921325684,0
-53.981324,90,16.483543,-100.0,-3.0449025630950928,0
-14.649965,61,16.583816,-100.0,-3.1049153804779053,0
-39.478072,103,16.722542,-100.0,-3.578672170639038,0
-35.1246,74,16.833395,-100.0,-3.042807102203369,0
-12.899767,60,16.916152,-100.0,-3.2393276691436768,0
-17.452989,62,17.006346,-100.0,-2.949791669845581,0
-35.841144,94,17.152562,-100.0,-1.446043610572815,0
-29.029482,79,17.267697,-100.0,-2.8740901947021484,0
-37.232632,83,17.414655,-100.0,-3.3798882961273193,0
9.694554,59,17.500437,-100.0,17.370019912719727,0
-38.918092,84,17.618247,-100.0,-1.723207950592041,0
-53.891185,108,17.761334,-100.0,-1.0741900205612183,0
-70.875087,90,17.886791,-100.0,-3.1646056175231934,0
-31.674077,86,19.063963,-100.0,-3.062844753265381,0
-17.037717,94,19.189597,-100.0,-3.3800723552703857,0
6.530095,75,19.284269,-100.0,13.904525756835938,0
-36.665932,88,19.398805,-100.0,-3.0427350997924805,0
-5.460848,86,19.511948,-100.0,6.937318325042725,0
-15.956735,68,19.607913,-100.0,-3.11362361907959,0
-9.901474,59,19.691509,-100.0,-0.8979625701904297,0
-13.508984,75,19.831562,-100.0,-2.8855979442596436,0
4.330351,82,19.951011,-100.0,13.742948532104492,0
-15.668102,67,20.040506,-100.0,-1.8965896368026733,0
-50.954281,110,20.203567,-100.0,-3.937716245651245,0
-8.149191,57,20.28439,-100.0,-2.998523235321045,0
-11.658934,63,20.36831,-100.0,-0.37261301279067993,0
-10.930235,67,21.814478,-100.0,-2.7853152751922607,0
-27.302063,80,21.931204,-100.0,0.8788055181503296,0
-20.155489,75,22.037767,-100.0,-3.1069653034210205,0
-37.972193,65,22.13144,-100.0,-1.943771481513977,0
-3.550717,93,22.278272,-100.0,15.817286491394043,0
-41.917044,77,22.381927,-100.0,-0.8855973482131958,0
-13.369722,64,22.471203,-100.0,0.5753176212310791,0
-13.82004,56,22.545997,-100.0,-1.3621814250946045,0
-22.130044,80,22.660635,-100.0,-2.980703830718994,0
-21.121284,86,22.784799,-100.0,-3.0599193572998047,0
-23.674073,72,22.897346,-100.0,-1.8050439357757568,0
-15.55441,56,22.979494,-100.0,-3.4874985218048096,0
-17.761691,78,23.098684,-100.0,-2.6906633377075195,0
-44.751542,84,23.244307,-100.0,-2.859696626663208,0
-27.719638,94,24.408552,-100.0,-2.9363512992858887,0
-16.342716,98,24.544254,-100.0,-1.0457704067230225,0
-39.276341,91,24.679396,-100.0,-1.955420732498169,0
-20.866712,87,24.825598,-100.0,1.259589433670044,0
-45.95006,101,24.966489,-100.0,-0.43420881032943726,0
-32.247038,82,25.077093,-100.0,-3.7424025535583496,0
-6.471541,57,25.154319,-100.0,-0.15865831077098846,0
-14.710636,76,25.258771,-100.0,-3.2100796699523926,0
-25.798093,70,25.358893,-100.0,-2.8201282024383545,0
-14.691527,60,25.464592,-100.0,-0.4364035427570343,0
-30.87943,76,25.611963,-100.0,-3.225717544555664,0
-21.697216,75,25.739362,-100.0,-2.9872655868530273,0
-19.16433,64,25.848363,-100.0,-3.067216634750366,0
-26.271182,76,27.338924,-100.0,-3.3784148693084717,0
-49.240295,83,27.470222,-100.0,-1.54054594039917,0
-27.561344,57,27.572421,-100.0,-3.0029101371765137,0
-4.679475,95,27.724121,-100.0,13.904001235961914,0
-1.902713,58,27.812536,-100.0,9.375125885009766,0
0.270674,56,27.902381,-100.0,10.226506233215332,0
-20.356823,72,28.007947,-100.0,-2.6162164211273193,0
-11.01878,57,28.096059,-100.0,2.155254602432251,0
-23.591236,82,28.208375,-100.0,-3.0953712463378906,0
-10.801686,59,28.290171,-100.0,-0.8476728200912476,0
-18.656577,73,28.399758,-100.0,-3.385895252227783,0
-37.706507,94,28.577587,-100.0,-2.7065608501434326,0
