#{"t_start": 1782918767.8711174, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
147.511708,119,1.462253,-100.0,0.9601577520370483,0
70.125952,110,1.596534,-100.0,0.293445885181427,0
114.986355,72,1.686704,-100.0,3.2868518829345703,0
127.88363,110,1.811958,-100.0,2.0644991397857666,0
90.861269,101,1.943265,-100.0,2.5124924182891846,0
40.113971,71,2.151617,-100.0,-0.004158962517976761,0
130.57327,92,2.254318,-100.0,1.9471646547317505,0
86.659108,86,2.346672,-100.0,0.8276376128196716,0
57.745895,103,2.449893,-100.0,0.24732999503612518,0
86.282762,70,2.522603,-100.0,0.5274137258529663,0
170.019169,98,3.403703,-100.0,3.0220046043395996,0
16.732796,102,3.507711,-100.0,-0.15621958673000336,0
43.4489,67,3.57606,-100.0,0.35986900329589844,0
82.670158,99,3.679467,-100.0,0.37077754735946655,0
31.479652,133,3.82045,-100.0,-0.1726066619157791,0
86.173961,69,3.890616,-100.0,0.5041618347167969,0
85.551757,90,3.984657,-100.0,1.3346617221832275,0
13.192561,82,4.065794,-100.0,-0.3646809160709381,0
40.314408,97,4.167695,-100.0,0.7478823661804199,0
20.069203,85,4.254479,-100.0,-0.3275279402732849,0
33.131828,75,4.336516,-100.0,0.7102174758911133,0
163.089538,96,4.441887,-100.0,2.417145252227783,0
95.355759,81,5.285371,-100.0,1.686334252357483,0
29.63534,102,5.384833,-100.0,-0.33243924379348755,0
32.740915,73,5.46016,-100.0,-0.3138570785522461,0
158.735554,129,5.668259,-100.0,1.099825382232666,0
66.713592,106,5.82009,-100.0,0.09988681972026825,0
92.46393,102,5.943703,-100.0,0.012225400656461716,0
53.74029,118,6.099575,-100.0,-0.4467272460460663,0
82.015156,72,6.192848,-100.0,1.6560534238815308,0
41.723842,79,6.296302,-100.0,0.5198156833648682,0
34.045902,103,6.413888,-100.0,1.0112559795379639,0
23.019288,70,6.490239,-100.0,0.06257623434066772,0
28.167131,92,7.441362,-100.0,-0.2960618734359741,0
161.856026,151,7.598531,-100.0,0.20473478734493256,0
110.13681,109,7.720266,-100.0,2.009589910507202,0
65.794344,86,7.814752,-100.0,1.9651634693145752,0
62.851747,95,7.920273,-100.0,-0.2361242026090622,0
145.190418,119,8.04821,-100.0,2.4980459213256836,0
224.386561,154,8.215346,-100.0,2.5639514923095703,0
93.308576,69,8.28303,-100.0,1.2828303575515747,0
137.43647,101,8.385391,-100.0,1.4955158233642578,0
66.533587,84,9.239009,-100.0,2.355816125869751,0
32.791354,111,9.351296,-100.0,-0.295501708984375,0
66.102848,73,9.436485,-100.0,1.269027829170227,0
162.482382,139,9.585131,-100.0,1.5852491855621338,0
146.686119,104,9.69016,-100.0,1.7949438095092773,0
136.400525,147,9.850852,-100.0,0.9004676342010498,0
25.053156,96,9.95411,-100.0,-0.21441355347633362,0
33.536682,72,10.034527,-100.0,-0.020752310752868652,0
57.122022,118,10.179674,-100.0,0.21508873999118805,0
39.201992,93,10.288305,-100.0,0.09110663831233978,0
190.473282,146,11.487342,-100.0,1.022302508354187,0
111.218926,117,11.638992,-100.0,2.02801775932312,0
58.950164,80,11.738072,-100.0,0.05401540920138359,0
22.444241,91,11.870681,-100.0,-0.30589139461517334,0
133.901178,131,12.052677,-100.0,1.6639574766159058,0
267.004299,162,12.319322,-100.0,1.3373948335647583,0
120.720321,99,12.438126,-100.0,1.379563331604004,0
97.466755,77,12.565828,-100.0,1.9763305187225342,0
125.962005,85,12.670277,-100.0,1.2212616205215454,0
91.13641,78,12.791814,-100.0,2.780285596847534,0
90.236165,158,14.231292,-100.0,0.0444839708507061,0
114.134587,84,14.347811,-100.0,2.1685407161712646,0
29.368048,123,14.540086,-100.0,-0.16472022235393524,0
28.629932,86,14.665987,-100.0,0.4894256591796875,0
127.876339,161,14.912484,-100.0,-0.07913908362388611,0
135.329575,95,15.045418,-100.0,0.6508910655975342,0
188.144992,124,15.22706,-100.0,4.585423469543457,0
81.931506,115,15.399122,-100.0,-0.15919815003871918,0
87.580948,128,16.781229,-100.0,1.250954031944275,0
119.486716,146,17.015305,-100.0,0.49167412519454956,0
55.584295,129,17.257277,-100.0,-0.11162686347961426,0
82.687039,75,17.416291,-100.0,0.8321039080619812,0
50.248799,102,17.567,-100.0,0.8697217702865601,0
107.212435,172,17.821113,-100.0,1.3492653369903564,0
93.195995,102,17.972664,-100.0,1.551937222480774,0
94.615063,83,18.094789,-100.0,2.1862597465515137,0
105.24817,67,18.211638,-100.0,1.6298471689224243,0
109.372091,134,19.341524,-100.0,0.8744109272956848,0
19.538719,104,19.478536,-100.0,0.11752843111753464,0
59.731581,84,19.599115,-100.0,0.6120731830596924,0
29.910426,78,19.710715,-100.0,-0.22842249274253845,0
52.346473,122,19.901971,-100.0,-0.014944467693567276,0
19.465767,97,20.035693,-100.0,0.054522302001714706,0
168.571519,99,20.186156,-100.0,4.595939636230469,0
84.205253,127,20.355498,-100.0,1.6356916427612305,0
158.442197,92,20.478548,-100.0,2.5433943271636963,0
79.249683,162,20.694061,-100.0,0.4126598834991455,0
95.913962,139,22.136898,-100.0,2.8996455669403076,0
204.787305,160,22.388365,-100.0,2.3154296875,0
89.355986,92,22.531072,-100.0,-0.18322715163230896,0
162.43528,118,22.710585,-100.0,2.2029764652252197,0
67.105331,105,22.859807,-100.0,-0.11506295204162598,0
92.281274,98,22.98917,-100.0,0.8700210452079773,0
85.149999,114,23.146278,-100.0,0.026951473206281662,0
99.829533,99,23.310168,-100.0,2.390486717224121,0
103.607024,148,24.476824,-100.0,-0.2316116988658905,0
153.543553,150,24.682876,-100.0,-0.18513824045658112,0
92.027396,72,24.774387,-100.0,1.4502863883972168,0
113.315313,82,24.909917,-100.0,1.843599557876587,0
52.063045,77,25.025894,-100.0,-0.25766074657440186,0
107.562588,194,25.30258,-100.0,1.0260995626449585,0
61.06554,91,25.45312,-100.0,-0.02097795531153679,0
109.477582,115,25.61925,-100.0,2.595853567123413,0
148.094342,176,25.85616,-100.0,0.4373670816421509,0
