#{"t_start": 1782915209.1423447, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-82.88059,97,1.445525,-100.0,-4.348227500915527,0
-76.059437,81,1.527231,-100.0,-2.8867814540863037,0
-83.503565,105,1.647948,-100.0,-3.2225470542907715,0
-38.550712,107,1.76159,-100.0,-2.1939213275909424,0
5528.585555,1000,3.565228,2.980429459588112,9.761713981628418,0
-43.431047,94,3.662945,-100.0,-3.112318992614746,0
-17.802818,71,3.737341,-100.0,-2.8005754947662354,0
-27.048963,79,3.81472,-100.0,-2.047314405441284,0
-60.208125,119,3.948216,-100.0,-2.080507278442383,0
-15.045936,67,4.019643,-100.0,-2.1817729473114014,0
-60.918479,99,4.122751,-100.0,-4.823607921600342,0
-49.934775,105,4.222235,-100.0,-2.735267162322998,0
-29.116707,110,5.085855,-100.0,-1.989528775215149,0
-110.968667,107,5.195786,-100.0,-2.9149272441864014,0
-72.519327,129,5.32486,-100.0,-2.716008186340332,0
-42.490994,99,5.426109,-100.0,-0.6549801826477051,0
-100.681152,129,5.553174,-100.0,-2.6581385135650635,0
-13.167067,79,5.637743,-100.0,-2.1376471519470215,0
-59.403347,134,5.830422,-100.0,-3.0256872177124023,0
-129.448276,99,5.947876,-100.0,-2.914822816848755,0
-35.061671,91,6.047883,-100.0,-2.685736656188965,0
-85.843082,147,6.957533,-100.0,-0.9085777997970581,0
-115.273423,126,7.080253,-100.0,-2.2569897174835205,0
-70.385571,114,7.191291,-100.0,-4.914150714874268,0
-28.607574,61,7.249155,-100.0,-2.7638676166534424,0
-27.71622,108,7.368249,-100.0,-1.0413780212402344,0
-59.139025,62,7.442057,-100.0,-2.56667423248291,0
-16.400419,102,7.555174,-100.0,-2.547182559967041,0
-53.441213,94,7.655253,-100.0,-0.8231087923049927,0
-26.291346,89,7.745298,-100.0,-3.1932854652404785,0
-31.806594,78,7.826875,-100.0,-0.9257656931877136,0
-108.226874,91,7.921004,-100.0,-3.769880771636963,0
-45.419781,94,8.731365,-100.0,-1.2163583040237427,0
-26.817425,91,8.823332,-100.0,-2.8933045864105225,0
-13.58172,68,8.891784,-100.0,-2.7473671436309814,0
-12.560484,62,8.956107,-100.0,-2.410968780517578,0
-74.251202,91,9.047549,-100.0,-2.9096901416778564,0
-16.163945,78,9.127779,-100.0,-2.905008554458618,0
-27.130881,76,9.202567,-100.0,-2.442357063293457,0
1.642559,72,9.276387,-100.0,11.770699501037598,0
9.084627,75,9.352284,-100.0,16.50094223022461,0
14.270397,58,9.41352,-100.0,15.81022834777832,0
-19.14122,65,9.484355,-100.0,-2.6051344871520996,0
-60.039331,114,9.605682,-100.0,-2.299558401107788,0
-20.904804,83,9.690956,-100.0,2.2458560466766357,0
-12.143647,67,10.477744,-100.0,-3.2522730827331543,0
-18.72651,103,10.594729,-100.0,-0.6018612384796143,0
-12.030938,77,10.673106,-100.0,-2.381927013397217,0
-19.690702,96,10.774183,-100.0,-1.3592485189437866,0
-32.114073,111,10.957525,-100.0,-2.5594682693481445,0
-16.295362,62,11.030451,-100.0,-3.1519720554351807,0
-19.554248,75,11.109592,-100.0,-2.6005451679229736,0
-43.09721,104,11.22246,-100.0,-3.0897185802459717,0
-22.966587,75,11.321877,-100.0,-3.1423535346984863,0
-4.027397,65,11.391222,-100.0,4.772497653961182,0
-38.86804,116,11.520052,-100.0,-3.345560312271118,0
-70.946283,100,12.357805,-100.0,-4.283169269561768,0
-37.108406,102,12.4634,-100.0,2.758890390396118,0
-3.38166,73,12.54079,-100.0,5.17788553237915,0
-14.879714,68,12.622419,-100.0,-2.904695987701416,0
-32.499968,76,12.699127,-100.0,-1.595637321472168,0
-30.376449,110,12.814525,-100.0,-2.9209964275360107,0
-34.965101,95,12.922543,-100.0,-3.07527494430542,0
-29.171625,95,13.01851,-100.0,-3.064336061477661,0
-18.322332,84,13.105189,-100.0,-2.7792563438415527,0
-46.877324,122,13.224382,-100.0,-2.553147792816162,0
-50.465448,72,13.301277,-100.0,-2.8015825748443604,0
-25.445837,106,13.411527,-100.0,-2.9110352993011475,0
-12.477342,78,14.253612,-100.0,-2.8603453636169434,0
-43.811042,117,14.37121,-100.0,-2.8012237548828125,0
-14.455877,70,14.440341,-100.0,-2.46134614944458,0
-48.853797,104,14.546474,-100.0,-1.4586002826690674,0
-24.033322,101,14.651884,-100.0,-2.53246808052063,0
0.68589,67,14.721039,-100.0,9.047093391418457,0
-51.808863,118,14.853359,-100.0,-1.6844003200531006,0
7.472751,70,14.940357,-100.0,14.65810775756836,0
-113.523309,110,15.073576,-100.0,-2.0059614181518555,0
-14.486755,73,15.16826,-100.0,2.3080496788024902,0
-13.353839,65,15.250537,-100.0,-2.817620277404785,0
-15.349033,80,16.497133,-100.0,-2.89512038230896,0
-67.095325,102,16.653726,-100.0,-3.102893590927124,0
-28.594044,102,16.790954,-100.0,-3.2175114154815674,0
-29.293858,96,16.935058,-100.0,-2.0385255813598633,0
-26.673205,92,17.068002,-100.0,-2.5414886474609375,0
-17.383437,84,17.19737,-100.0,-2.814964771270752,0
-16.430352,70,17.299313,-100.0,0.4788546562194824,0
-42.3481,69,17.423493,-100.0,-1.9108614921569824,0
-12.660315,80,17.540135,-100.0,-2.449920177459717,0
-23.125825,69,17.639564,-100.0,-2.538494110107422,0
-55.524042,85,17.755362,-100.0,-3.2011218070983887,0
-27.040041,78,17.863461,-100.0,-2.781299352645874,0
-15.096392,66,17.952415,-100.0,-2.9434752464294434,0
-15.631713,61,19.095909,-100.0,-2.7526772022247314,0
-19.042109,75,19.196954,-100.0,-2.8342201709747314,0
-24.309165,77,19.293612,-100.0,-3.8806469440460205,0
-20.961533,59,19.368042,-100.0,-2.958024501800537,0
8.392042,106,19.50805,-100.0,16.736495971679688,0
-14.058522,78,19.611253,-100.0,-2.8744654655456543,0
-28.760215,104,19.764067,-100.0,-2.961270809173584,0
-45.589929,101,19.941169,-100.0,-2.906679153442383,0
-19.42131,64,20.033577,-100.0,-3.043823003768921,0
-18.530066,74,20.130143,-100.0,-3.4692728519439697,0
0.704122,93,20.275926,-100.0,11.481642723083496,0
-18.526555,76,20.378682,-100.0,-3.2369837760925293,0
-32.043512,93,21.856958,-100.0,-3.077624559402466,0
-39.410963,114,22.019504,-100.0,1.9765853881835938,0
-13.460629,55,22.09962,-100.0,-2.941645860671997,0
-50.361808,103,22.25276,-100.0,-1.5045746564865112,0
-53.686489,92,22.386571,-100.0,-1.4494833946228027,0
-38.993556,83,22.504566,-100.0,-3.0763673782348633,0
-48.203594,93,22.632599,-100.0,-4.068437099456787,0
9.183367,61,22.718399,-100.0,15.443275451660156,0
-20.699696,63,22.808175,-100.0,-3.3557474613189697,0
-7.141026,62,22.906417,-100.0,-2.996992588043213,0
-38.78471,82,23.027292,-100.0,-3.1819405555725098,0
-29.66041,85,23.157945,-100.0,-1.5103027820587158,0
14.504214,57,23.255229,-100.0,16.59302520751953,0
-12.242831,51,23.341084,-100.0,-3.3916971683502197,0
-34.008628,67,24.461624,-100.0,-3.209365129470825,0
-24.10729,63,24.548092,-100.0,-3.5233712196350098,0
9.445868,58,24.629398,-100.0,13.936750411987305,0
-16.068407,88,24.765115,-100.0,-2.699355125427246,0
5.210012,59,24.863669,-100.0,10.46015739440918,0
-37.624184,88,24.989944,-100.0,-1.726151704788208,0
-7.7506,62,25.074139,-100.0,0.9691369533538818,0
-32.538729,93,25.200208,-100.0,-3.2819113731384277,0
-14.785206,65,25.289205,-100.0,-3.047067642211914,0
-4.306264,57,25.372056,-100.0,0.709487795829773,0
-11.918978,66,25.473912,-100.0,-3.359842538833618,0
-3.57709,88,25.644442,-100.0,14.973628997802734,0
-20.167,75,25.773525,-100.0,-2.4222590923309326,0
-13.744276,70,25.894504,-100.0,3.458678722381592,0
-0.087535,93,27.412351,-100.0,12.082612991333008,0
-35.227717,99,27.575052,-100.0,-3.449061632156372,0
-66.95074,91,27.724549,-100.0,-3.549281597137451,0
-15.48515,77,27.842355,-100.0,2.4310882091522217,0
-59.95533,90,27.98629,-100.0,-1.7588891983032227,0
-28.277168,89,28.12,-100.0,-0.5330085754394531,0
1.253959,55,28.198803,-100.0,8.009638786315918,0
-52.599149,102,28.336969,-100.0,-3.3329262733459473,0
-12.605443,60,28.424141,-100.0,-3.218977451324463,0
-14.481747,63,28.530836,-100.0,-2.8323206901550293,0
-10.497267,62,28.657522,-100.0,-2.951347827911377,0
-11.22952,60,28.759411,-100.0,-3.325914144515991,0
-59.141754,95,28.902534,-100.0,-2.013153553009033,0
-27.922467,91,30.222028,-100.0,-3.127678632736206,0
3.669732,64,30.321798,-100.0,10.088869094848633,0
-20.187982,65,30.423837,-100.0,-3.597109794616699,0
-11.540669,57,30.512473,-100.0,-0.1698378026485443,0
-14.034123,61,30.620718,-100.0,-2.85748028755188,0
-26.336692,78,30.7305,-100.0,-2.9036710262298584,0
-30.503122,83,30.842438,-100.0,-0.3214813768863678,0
-39.183775,99,31.013203,-100.0,-3.115354299545288,0
-25.111828,89,31.179234,-100.0,-3.6111955642700195,0
-11.359906,65,31.486864,-100.0,-0.3562721610069275,0
-14.069078,68,31.781495,-100.0,-0.966134250164032,0
-19.494682,60,31.980748,-100.0,-3.367003917694092,0
-14.380161,66,32.113237,-100.0,-2.9918181896209717,0
-19.83302,81,32.300452,-100.0,-3.0754406452178955,0
-12.735366,75,34.043856,-100.0,-2.862762689590454,0
-42.475927,104,34.223621,-100.0,-0.6210939884185791,0
-15.940436,54,34.300262,-100.0,-2.358596086502075,0
-20.946072,65,34.387455,-100.0,-3.7660696506500244,0
-5.124024,67,34.481364,-100.0,-3.1152689456939697,0
-19.747555,85,34.618068,-100.0,-3.3366353511810303,0
-23.904977,70,34.740318,-100.0,-3.059077024459839,0
5.177525,84,34.873358,-100.0,12.143637657165527,0
-20.837367,69,34.983303,-100.0,-1.7229297161102295,0
-5.492393,56,35.067513,-100.0,1.3419173955917358,0
-13.379068,60,35.151045,-100.0,-3.0328445434570312,0
-10.790887,55,35.236589,-100.0,0.09274464845657349,0
-20.797727,74,35.338188,-100.0,-2.7448878288269043,0
-27.834622,92,35.461314,-100.0,-3.090176820755005,0
-37.496549,80,36.613173,-100.0,-1.719626545906067,0
-12.981009,75,36.758785,-100.0,-3.135831356048584,0
-15.525666,62,36.922459,-100.0,-2.9335989952087402,0
-17.585287,57,37.02645,-100.0,-3.3933048248291016,0
10.730424,75,37.17456,-100.0,15.82988166809082,0
-56.509837,104,37.368621,-100.0,-1.8452160358428955,0
-27.723216,91,37.541684,-100.0,-3.023266077041626,0
-16.440014,83,37.709863,-100.0,-2.9813787937164307,0
-11.973549,54,37.802847,-100.0,-3.4080450534820557,0
-13.814036,78,37.947218,-100.0,-3.304159164428711,0
-13.719628,66,38.058811,-100.0,-2.4886398315429688,0
-12.091703,62,38.149897,-100.0,-1.961364984512329,0
-6.981097,75,38.283586,-100.0,3.511828899383545,0
-9.38407,59,38.373482,-100.0,-2.9190001487731934,0
-14.580298,89,39.560893,-100.0,5.373751640319824,0
6.720474,56,39.634738,-100.0,9.939067840576172,0
-11.361188,59,39.741631,-100.0,-0.9512180089950562,0
-3.922143,62,39.873393,-100.0,2.8069417476654053,0
5.975354,65,40.009258,-100.0,11.095285415649414,0
-15.327226,65,40.193746,-100.0,-3.4076220989227295,0
-20.116444,85,40.368545,-100.0,-2.80059814453125,0
-25.543949,82,40.51324,-100.0,-0.9495896697044373,0
-11.601631,52,40.601621,-100.0,-3.2248518466949463,0
-14.95722,62,40.706466,-100.0,-3.0549027919769287,0
-23.594752,88,40.858557,-100.0,-1.9839377403259277,0
-23.847073,69,40.977301,-100.0,-3.249174118041992,0
-15.137417,58,41.064171,-100.0,-2.6731855869293213,0
6.890345,69,41.165847,-100.0,15.684805870056152,0
-12.351796,55,41.2508,-100.0,-2.9999444484710693,0
11.487279,73,42.528025,-100.0,17.106884002685547,0
-18.61406,81,42.664102,-100.0,-3.128504753112793,0
-37.471609,95,42.821875,-100.0,-3.811767339706421,0
-15.135381,61,42.917655,-100.0,-2.910132646560669,0
-12.276536,73,43.030335,-100.0,-3.092907428741455,0
-27.519635,91,43.17749,-100.0,-3.213366746902466,0
-9.214567,53,43.263332,-100.0,-3.0696964263916016,0
-32.793618,87,43.386358,-100.0,-0.3728301525115967,0
-7.540003,54,43.458785,-100.0,-3.105604648590088,0
-10.704768,62,43.538498,-100.0,-2.8997373580932617,0
-8.942104,60,43.621085,-100.0,-3.093228816986084,0
-11.864683,57,43.694359,-100.0,-3.212409019470215,0
-14.769682,78,43.842135,-100.0,1.7905042171478271,0
-21.65342,88,43.970776,-100.0,-2.8638956546783447,0
-13.153151,68,45.223306,-100.0,-2.1151621341705322,0
-21.061594,59,45.309888,-100.0,-3.251274347305298,0
-15.174006,79,45.461476,-100.0,-1.1497259140014648,0
-12.946131,83,45.585658,-100.0,-0.2269095927476883,0
15.160094,56,45.663783,-100.0,17.37404441833496,0
-31.444338,87,45.82044,-100.0,-3.245851755142212,0
-5.41474,79,45.945151,-100.0,-0.007523222826421261,0
-14.604214,56,46.030102,-100.0,-2.9034085273742676,0
-11.931061,57,46.124397,-100.0,-3.209826946258545,0
-32.673858,96,46.263654,-100.0,-3.4914395809173584,0
-7.348235,59,46.357841,-100.0,-3.159233808517456,0
11.207802,59,46.485528,-100.0,17.222318649291992,0
2.409527,60,46.579649,-100.0,8.794960021972656,0
-9.926662,54,46.654681,-100.0,-3.2117319107055664,0
8.768563,69,46.803343,-100.0,13.362177848815918,0
-13.791027,66,48.376985,-100.0,1.294622540473938,0
-10.566428,95,48.582131,-100.0,-1.2737317085266113,0
12.320506,58,48.713019,-100.0,16.282398223876953,0
-5.579567,77,48.906698,-100.0,-0.11615972965955734,0
-11.86326,67,49.072442,-100.0,-3.0834403038024902,0
-1.612352,78,49.230163,-100.0,6.157345294952393,0
-24.165641,63,49.339673,-100.0,-3.1629014015197754,0
-10.564402,67,49.454739,-100.0,-0.330623596906662,0
-27.275527,95,49.617039,-100.0,-3.2288756370544434,0
12.963555,57,49.703358,-100.0,16.910964965820312,0
-11.455997,77,49.82727,-100.0,1.0153566598892212,0
-12.404436,69,49.945379,-100.0,-2.8029286861419678,0
-17.160518,65,50.036509,-100.0,-3.2032573223114014,0
-8.765529,73,50.176877,-100.0,-2.931671380996704,0
7.965798,70,51.385946,-100.0,11.06814193725586,0
-18.545703,78,51.486857,-100.0,2.2861828804016113,0
-13.36294,61,51.571358,-100.0,-2.847400188446045,0
-6.239558,63,51.652318,-100.0,-0.09665331244468689,0
-20.603252,68,51.743067,-100.0,-3.0758063793182373,0
-15.098104,55,51.812091,-100.0,-2.8718204498291016,0
-11.940916,82,51.926549,-100.0,3.43818998336792,0
-1.287187,74,52.033965,-100.0,-0.0035556594375520945,0
-38.409832,86,52.147925,-100.0,-3.1147265434265137,0
-10.479702,64,52.239629,-100.0,-0.7163039445877075,0
12.402103,73,52.38714,-100.0,16.917583465576172,0
6.618831,66,52.568596,-100.0,10.758015632629395,0
-10.062037,70,52.700341,-100.0,-2.5734620094299316,0
-16.174943,74,52.832352,-100.0,-3.1756210327148438,0
-10.804912,58,52.96096,-100.0,-0.18942253291606903,0
-15.364157,61,54.122258,-100.0,-2.8793389797210693,0
-10.805719,63,54.241609,-100.0,-3.1922335624694824,0
-21.542282,77,54.376954,-100.0,-3.2501111030578613,0
-13.946739,78,54.54005,-100.0,-3.4101688861846924,0
-14.538739,78,54.688566,-100.0,-2.8513031005859375,0
-1.678297,59,54.786794,-100.0,-0.02853715978562832,0
-10.239627,68,54.933394,-100.0,-3.163813591003418,0
-16.959197,70,55.060349,-100.0,-3.099147319793701,0
-14.957045,95,55.239765,-100.0,-2.415168523788452,0
12.779701,62,55.375762,-100.0,15.687204360961914,0
-11.854222,76,55.532871,-100.0,-3.251573324203491,0
4.702332,76,55.667182,-100.0,14.182435035705566,0
-21.74431,78,55.808481,-100.0,-0.17870980501174927,0
-4.089791,71,55.945426,-100.0,-0.19807033240795135,0
-22.811359,88,57.316929,-100.0,-3.0171620845794678,0
-2.578454,63,57.413412,-100.0,5.123769283294678,0
-15.698976,58,57.493634,-100.0,-3.298976421356201,0
-11.334609,74,57.616802,-100.0,-3.327601909637451,0
-10.860322,86,57.799939,-100.0,-3.0975465774536133,0
-20.29076,87,57.962504,-100.0,-3.4425716400146484,0
-13.887221,83,58.146052,-100.0,-3.3433191776275635,0
-16.274314,82,58.314811,-100.0,2.376406669616699,0
-13.983018,72,58.440053,-100.0,-2.929842472076416,0
-13.337729,82,58.555774,-100.0,-2.242624282836914,0
-15.106308,71,58.661079,-100.0,-0.3856021761894226,0
-8.013232,93,58.811676,-100.0,-0.13089752197265625,0
-12.140979,59,58.916699,-100.0,-2.919214963912964,0
-13.795927,62,59.016063,-100.0,-2.9797163009643555,0
11.764115,93,60.16026,-100.0,16.224842071533203,0
5.112583,65,60.250804,-100.0,9.61577033996582,0
5.175029,84,60.37779,-100.0,14.07494831085205,0
-7.5056,57,60.456668,-100.0,-3.155879020690918,0
-3.340964,74,60.569022,-100.0,-0.06576281040906906,0
-16.710308,81,60.685816,-100.0,-1.5474357604980469,0
-11.391273,96,60.837844,-100.0,1.9684019088745117,0
11.420638,75,60.984852,-100.0,15.682798385620117,0
-15.946856,92,61.154394,-100.0,-2.9654579162597656,0
-14.549732,69,61.289264,-100.0,-3.389451265335083,0
-13.327258,67,61.437037,-100.0,-0.6131330728530884,0
-16.351929,66,61.553431,-100.0,-2.9964003562927246,0
-10.459583,62,61.667997,-100.0,-3.016470193862915,0
13.772076,72,63.015674,-100.0,17.5142765045166,0
7.748945,67,63.284261,-100.0,14.094234466552734,0
-16.61469,66,63.407465,-100.0,-3.2072675228118896,0
-23.915081,90,63.565396,-100.0,-3.1865415573120117,0
12.333468,74,63.679596,-100.0,15.877063751220703,0
-6.449823,87,63.822249,-100.0,0.6161397099494934,0
-10.121629,88,63.96616,-100.0,2.988886594772339,0
10.181505,53,64.049429,-100.0,11.131823539733887,0
3.384001,63,64.145245,-100.0,8.075892448425293,0
-5.455835,69,64.239747,-100.0,5.041248798370361,0
8.972917,86,64.359195,-100.0,14.44246768951416,0
-14.239978,67,64.456391,-100.0,-3.3636765480041504,0
15.745948,74,64.574512,-100.0,16.484527587890625,0
-7.76727,56,64.650494,-100.0,2.465752124786377,0
-4.568022,64,64.742185,-100.0,-0.09648987650871277,0
12.355697,64,65.879205,-100.0,14.557878494262695,0
4.696658,84,66.016543,-100.0,9.77554702758789,0
11.683882,62,66.107905,-100.0,13.508953094482422,0
0.051903,72,66.210472,-100.0,7.076166152954102,0
-8.56655,64,66.293781,-100.0,-2.9014415740966797,0
-14.551124,62,66.376496,-100.0,-3.2869553565979004,0
-9.064821,55,66.452007,-100.0,-2.882725715637207,0
-13.51165,93,66.583271,-100.0,-3.289128303527832,0
-8.325987,54,66.66345,-100.0,-2.900784492492676,0
-5.959008,57,66.752255,-100.0,-1.4461681842803955,0
-17.984474,82,66.898144,-100.0,-2.7002880573272705,0
-17.809893,86,67.040943,-100.0,-3.2582671642303467,0
-2.157053,63,67.127415,-100.0,6.524140357971191,0
-13.999068,79,67.237256,-100.0,-2.946916103363037,0
-10.404598,86,68.655457,-100.0,-3.0440919399261475,0
0.826155,55,68.747262,-100.0,4.798151016235352,0
14.22258,53,68.836796,-100.0,17.010089874267578,0
-12.550845,76,68.970284,-100.0,-3.052927017211914,0
-20.957375,96,69.146785,-100.0,0.09262318909168243,0
7.358169,93,69.301107,-100.0,15.34600830078125,0
-11.158028,58,69.387261,-100.0,-3.4777815341949463,0
15.26842,54,69.474254,-100.0,15.034600257873535,0
8.945647,84,69.631576,-100.0,15.494698524475098,0
7.707065,54,69.718602,-100.0,11.351391792297363,0
15.826873,58,69.799378,-100.0,17.211580276489258,0
-9.6837,66,69.904153,-100.0,-0.4843820333480835,0
-9.811557,60,69.990519,-100.0,-3.114642858505249,0
17.466984,57,70.086218,-100.0,17.564441680908203,0
-10.423277,50,70.168516,-100.0,-3.0066139698028564,0
9.123146,56,70.272177,-100.0,11.0992431640625,0
-12.739575,63,71.492439,-100.0,-3.3611679077148438,0
11.819526,66,71.585681,-100.0,13.394251823425293,0
-16.904305,78,71.72486,-100.0,-3.047276020050049,0
-16.381315,73,71.825645,-100.0,-2.989290714263916,0
-12.477016,76,71.936664,-100.0,-2.919501304626465,0
-15.215167,86,72.067053,-100.0,-0.9876270890235901,0
15.053149,65,72.162984,-100.0,17.391294479370117,0
-14.506941,66,72.26445,-100.0,-3.0618598461151123,0
-9.475718,70,72.368604,-100.0,-0.706280529499054,0
-11.904521,83,72.494168,-100.0,-0.15000616014003754,0
-15.053748,81,72.630489,-100.0,-2.694434881210327,0
