#{"t_start": 1782892401.5551832, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-0.066423,100,1.399625,-100.0,-0.03526008874177933,0
0.25981,90,1.503328,-100.0,-0.04081059992313385,0
-0.046426,64,1.576339,-100.0,-0.03148716315627098,0
-0.155526,96,1.685169,-100.0,0.19843152165412903,0
-0.178025,62,1.753547,-100.0,-0.02037990838289261,0
-1.090771,90,1.851601,-100.0,-0.002193497959524393,0
0.385984,61,1.92002,-100.0,-0.025150028988718987,0
0.217551,61,1.988466,-100.0,-0.025757405906915665,0
-0.090411,114,2.117603,-100.0,-0.028819430619478226,0
-0.172586,60,2.188436,-100.0,-0.04352184385061264,0
0.410059,67,2.25945,-100.0,-0.04703254997730255,0
-0.021772,76,2.340509,-100.0,-0.028589997440576553,0
-0.290254,89,3.175639,-100.0,-0.006450186483561993,0
0.377133,64,3.23932,-100.0,0.02310263179242611,0
-0.046341,99,3.339048,-100.0,-0.03740490972995758,0
0.85314,80,3.421032,-100.0,0.7420501112937927,0
-0.491189,146,3.565826,-100.0,-0.028945287689566612,0
-1.113331,97,3.665552,-100.0,-0.012952486984431744,0
-1.064108,109,3.771371,-100.0,-0.041740916669368744,0
-0.24665,94,3.868761,-100.0,-0.03132513165473938,0
-0.587446,92,3.958393,-100.0,-0.019536396488547325,0
-0.144801,74,4.037308,-100.0,-0.03555717319250107,0
-1.038901,96,4.139882,-100.0,-0.04004213958978653,0
0.263903,72,4.941339,-100.0,-0.028488900512456894,0
0.192186,88,5.029707,-100.0,-0.00808007549494505,0
0.203491,115,5.150065,-100.0,0.2241651862859726,0
-0.270518,75,5.227528,-100.0,-0.025333590805530548,0
0.112352,93,5.319486,-100.0,0.013994690030813217,0
-0.123176,95,5.413472,-100.0,-0.01736713945865631,0
0.404037,68,5.484963,-100.0,-0.03412553295493126,0
-0.386048,102,5.654766,-100.0,-0.018711209297180176,0
0.400368,68,5.732326,-100.0,-0.030344149097800255,0
0.722127,75,5.817662,-100.0,0.7025500535964966,0
-0.381295,77,5.89763,-100.0,-0.028970792889595032,0
0.051834,72,5.971842,-100.0,0.05093241482973099,0
0.395722,56,6.0534,-100.0,-0.022278081625699997,0
-0.163585,85,6.895225,-100.0,0.18210475146770477,0
0.543028,59,6.953942,-100.0,-0.04216823726892471,0
0.217706,96,7.049803,-100.0,-0.03489537537097931,0
0.529269,62,7.113532,-100.0,-0.020135898143053055,0
0.389978,71,7.192111,-100.0,-0.0324820801615715,0
0.445011,63,7.256275,-100.0,-0.02873753383755684,0
0.508403,56,7.312299,-100.0,-0.028010040521621704,0
-0.158716,80,7.392698,-100.0,-0.016684837639331818,0
-0.417932,97,7.487931,-100.0,-0.014894053339958191,0
0.07551,78,7.571462,-100.0,-0.04178982973098755,0
0.420182,55,7.631534,-100.0,-0.01699386164546013,0
1.63489,69,7.704465,-100.0,1.2159545421600342,0
-0.070736,57,7.765978,-100.0,-0.04545325040817261,0
0.116667,98,7.867765,-100.0,-0.020558811724185944,0
0.126502,70,8.687504,-100.0,-0.018553080037236214,0
-0.326599,96,8.7849,-100.0,-0.02521856501698494,0
1.084139,100,8.884952,-100.0,0.7996057868003845,0
0.158457,100,8.983606,-100.0,-0.0036436598747968674,0
0.343612,91,9.075793,-100.0,-0.04549553245306015,0
-0.907238,107,9.194998,-100.0,-0.02483622170984745,0
0.486385,63,9.258143,-100.0,-0.03781713545322418,0
-0.329992,102,9.358781,-100.0,-0.019300362095236778,0
-0.335123,105,9.470825,-100.0,-0.02282055653631687,0
0.37738,53,9.525038,-100.0,-0.02650562673807144,0
-0.004424,100,9.621208,-100.0,-0.02958867885172367,0
0.381455,71,10.429833,-100.0,-0.031239299103617668,0
-0.052493,66,10.497828,-100.0,-0.02735908515751362,0
2.038376,95,10.591379,-100.0,1.726601243019104,0
0.352498,59,10.660323,-100.0,-0.041104041039943695,0
0.440707,88,10.798142,-100.0,-0.023669663816690445,0
-0.180954,100,10.938194,-100.0,-0.019339188933372498,0
0.531662,61,11.035576,-100.0,-0.030175285413861275,0
0.119081,76,11.164021,-100.0,-0.024882737547159195,0
1.384855,63,11.278899,-100.0,1.1571154594421387,0
0.432826,61,11.371885,-100.0,0.35923001170158386,0
0.481734,58,11.463931,-100.0,-0.01635349914431572,0
-0.100326,91,11.58684,-100.0,-0.030253751203417778,0
-0.151209,87,11.708253,-100.0,-0.034884970635175705,0
0.283885,85,11.828999,-100.0,-0.028515096753835678,0
0.418641,92,12.90592,-100.0,-0.04023232311010361,0
0.258901,81,13.019933,-100.0,-0.010067902505397797,0
0.30001,98,13.175243,-100.0,-0.03956642746925354,0
0.313062,89,13.314778,-100.0,-0.03224083036184311,0
0.468262,89,13.432143,-100.0,-0.03487513214349747,0
0.190794,89,13.548932,-100.0,-0.01991494745016098,0
0.364482,60,13.627481,-100.0,-0.03315991908311844,0
0.322271,72,13.718215,-100.0,-0.02264697663486004,0
-0.061071,86,13.833005,-100.0,0.053895361721515656,0
2.35481,73,13.927571,-100.0,1.7882130146026611,0
1.227138,57,14.003887,-100.0,0.6371785402297974,0
0.348367,83,14.115565,-100.0,-0.022914182394742966,0
-0.23335,92,15.262739,-100.0,-0.014074433594942093,0
0.374769,60,15.337424,-100.0,-0.03427089750766754,0
0.499236,80,15.442663,-100.0,0.07991046458482742,0
0.556375,62,15.529569,-100.0,-0.03913973271846771,0
1.541372,55,15.603,-100.0,0.9453919529914856,0
0.172567,92,15.730412,-100.0,-0.024245591834187508,0
-0.184945,86,15.91277,-100.0,-0.03569855913519859,0
0.249594,70,16.026778,-100.0,-0.02759416587650776,0
0.190492,83,16.160342,-100.0,-0.02604517713189125,0
0.398837,72,16.279082,-100.0,-0.024946823716163635,0
0.449534,77,16.407245,-100.0,-0.03837902098894119,0
0.218543,62,16.50702,-100.0,-0.019969437271356583,0
0.446843,71,16.605121,-100.0,-0.02322486788034439,0
0.686268,52,16.673395,-100.0,-0.05411040782928467,0
2.542127,72,16.776924,-100.0,1.8721952438354492,0
0.159498,66,17.86004,-100.0,-0.024579282850027084,0
0.089473,90,17.97611,-100.0,-0.0123039111495018,0
1.93879,74,18.066668,-100.0,1.3786803483963013,0
0.321803,96,18.19015,-100.0,-0.01195203885436058,0
2.577249,79,18.291529,-100.0,1.8857837915420532,0
0.068866,79,18.398028,-100.0,-0.01805311068892479,0
1.573609,58,18.477587,-100.0,0.8687431812286377,0
0.380799,58,18.553737,-100.0,-0.04017259180545807,0
-0.235601,98,18.689166,-100.0,-0.038003385066986084,0
0.031138,86,18.804391,-100.0,-0.031045980751514435,0
0.614866,60,18.892975,-100.0,0.23780955374240875,0
0.157915,88,19.023829,-100.0,-0.03031734563410282,0
0.66281,53,19.095898,-100.0,-0.02406603842973709,0
0.528596,72,20.170949,-100.0,-0.03456386923789978,0
2.607779,66,20.257125,-100.0,1.868282437324524,0
0.358521,68,20.346262,-100.0,-0.013761352747678757,0
0.453396,56,20.421475,-100.0,-0.02679414674639702,0
0.06165,76,20.530768,-100.0,-0.019848119467496872,0
2.192713,65,20.616668,-100.0,1.5392284393310547,0
0.245987,75,20.725007,-100.0,-0.03302142769098282,0
0.344041,75,20.827975,-100.0,-0.020563067868351936,0
0.471834,71,20.946085,-100.0,-0.023543398827314377,0
0.520646,86,21.145496,-100.0,0.001839902251958847,0
1.427954,55,21.250884,-100.0,0.887843906879425,0
0.27088,72,21.371459,-100.0,-0.033332303166389465,0
0.397011,52,21.464222,-100.0,-0.02466471493244171,0
0.268963,83,21.619857,-100.0,-0.0021525435149669647,0
2.554457,69,21.72334,-100.0,1.861534595489502,0
0.160352,61,22.74842,-100.0,-0.03957895562052727,0
0.755497,52,22.820513,-100.0,-0.03715427219867706,0
1.627858,66,22.910049,-100.0,0.9721752405166626,0
2.542572,65,23.001892,-100.0,1.793358564376831,0
0.613679,76,23.117905,-100.0,-0.02147633209824562,0
2.672099,61,23.217781,-100.0,1.8730156421661377,0
0.621739,58,23.299888,-100.0,-0.023412097245454788,0
0.198912,65,23.390757,-100.0,-0.03488900884985924,0
0.36985,87,23.505785,-100.0,-0.029508426785469055,0
1.610862,62,23.588306,-100.0,1.0109703540802002,0
0.365825,69,23.677259,-100.0,-0.03417229279875755,0
0.090889,74,23.778725,-100.0,-0.033205192536115646,0
0.408759,88,23.889684,-100.0,-0.022594980895519257,0
1.567748,56,23.966069,-100.0,0.8745126724243164,0
0.406715,88,24.08477,-100.0,-0.0019995984621345997,0
0.690001,58,25.112345,-100.0,-0.03667685389518738,0
0.569239,76,25.214165,-100.0,-0.026288531720638275,0
0.16871,74,25.312655,-100.0,-0.02211044356226921,0
0.088791,83,25.425578,-100.0,-0.0206627007573843,0
