#{"t_start": 1782896046.1635437, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-29.907816,94,1.695492,-100.0,-1.6130762100219727,0
-51.028549,112,1.843257,-100.0,-1.1770395040512085,0
-48.00238,81,1.948373,-100.0,-1.1464983224868774,0
-27.326842,109,2.083088,-100.0,-0.4912605583667755,0
-47.963697,101,2.191461,-100.0,-0.9610726833343506,0
-15.973648,72,2.276229,-100.0,-1.643395185470581,0
-36.540818,102,2.382105,-100.0,-2.0657436847686768,0
-14.803722,64,2.45182,-100.0,-1.1978694200515747,0
-7.64635,79,2.540682,-100.0,1.8316789865493774,0
-53.42325,92,2.639684,-100.0,-1.82218599319458,0
-45.928054,75,2.72159,-100.0,-1.5843693017959595,0
-59.531668,122,3.786459,-100.0,-0.8513627052307129,0
-16.461988,85,3.884231,-100.0,-0.36579057574272156,0
-62.388637,113,4.014279,-100.0,-2.348775863647461,0
-35.404323,73,4.096167,-100.0,-2.910949945449829,0
-33.469508,92,4.192353,-100.0,-1.6065425872802734,0
-12.661383,91,4.291482,-100.0,-1.6827913522720337,0
-21.954798,94,4.39376,-100.0,-0.7671509981155396,0
-67.523793,93,4.486706,-100.0,-1.4872907400131226,0
-66.807866,77,4.564206,-100.0,-2.9393413066864014,0
-30.706701,102,4.668506,-100.0,-1.7638682126998901,0
-62.006553,97,4.767899,-100.0,-1.2508735656738281,0
-31.221901,134,5.88841,-100.0,-0.25981006026268005,0
-58.40061,127,6.018879,-100.0,-1.8334482908248901,0
-20.684354,78,6.094821,-100.0,-1.0846208333969116,0
-24.954076,76,6.175485,-100.0,-1.700768232345581,0
-35.621101,105,6.310256,-100.0,-1.5834287405014038,0
-55.13801,131,6.476597,-100.0,-0.6219560503959656,0
-66.587616,105,6.610389,-100.0,-1.5353024005889893,0
-25.802846,84,6.730606,-100.0,-1.5286290645599365,0
-7.375312,76,6.830858,-100.0,-1.6895817518234253,0
-22.377916,93,6.955423,-100.0,-1.8375937938690186,0
-11.609473,64,7.968577,-100.0,-1.213806390762329,0
-1.909419,66,8.060683,-100.0,1.8398760557174683,0
-9.906865,89,8.177347,-100.0,-1.5576276779174805,0
-50.58155,101,8.325458,-100.0,-0.8096112608909607,0
-21.669011,85,8.466959,-100.0,-1.92964768409729,0
-17.494796,81,8.590832,-100.0,-1.6172317266464233,0
-28.349521,132,8.768662,-100.0,-0.5521160960197449,0
-24.015257,102,8.910416,-100.0,-1.6353245973587036,0
-51.06171,100,9.048465,-100.0,-1.7932652235031128,0
-45.945502,108,9.194345,-100.0,-1.686037302017212,0
-12.609512,68,9.291805,-100.0,-1.4980171918869019,0
