#{"t_start": 1782916512.9477584, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-36.616084,97,1.40505,-100.0,-1.9368433952331543,0
-34.350638,81,1.495906,-100.0,-1.420222282409668,0
-38.970723,105,1.607908,-100.0,-1.4893325567245483,0
-14.669238,107,1.729441,-100.0,-0.9625046849250793,0
849.657209,1000,4.464085,2.493050283217847,1.920279860496521,0
-16.539033,94,4.604233,-100.0,-1.4240427017211914,0
2.11702,71,4.719519,-100.0,-0.1019725501537323,0
-9.878535,79,4.884789,-100.0,-0.9303747415542603,0
-27.735293,119,5.148949,-100.0,-0.8333696126937866,0
0.523096,67,5.276382,-100.0,1.6882011890411377,0
-22.708772,103,5.49188,-100.0,-1.108035922050476,0
-28.227134,131,6.833995,-100.0,-1.3506736755371094,0
-25.911346,77,6.939576,-100.0,-1.4340442419052124,0
-42.180772,119,7.119429,-100.0,-1.08888578414917,0
-31.927878,100,7.271177,-100.0,-1.2972925901412964,0
-20.591137,78,7.37936,-100.0,-1.1000206470489502,0
-41.757307,74,7.503634,-100.0,-2.1372179985046387,0
-44.718983,131,7.7022,-100.0,-1.4765764474868774,0
-14.566961,93,7.84204,-100.0,-1.06581449508667,0
-19.814389,118,8.022246,-100.0,-1.335451602935791,0
-12.578378,88,8.193653,-100.0,-0.4828818738460541,0
-14.297514,99,8.346333,-100.0,-1.2354015111923218,0
-15.215793,85,9.515758,-100.0,-0.6205553412437439,0
-20.059953,89,9.660364,-100.0,-0.9246635437011719,0
-26.558362,94,9.811445,-100.0,-1.5468777418136597,0
2.981302,65,9.925853,-100.0,1.886518955230713,0
-11.388169,83,10.134198,-100.0,-1.3338207006454468,0
-4.23088,62,10.253113,-100.0,-0.5621311068534851,0
1.506611,71,10.397352,-100.0,1.9099748134613037,0
-31.558849,123,10.627692,-100.0,-0.6005142331123352,0
-6.610428,99,10.81427,-100.0,-1.1786766052246094,0
-11.109957,109,10.974857,-100.0,-0.2517963945865631,0
-8.32153,75,11.082367,-100.0,-1.3292009830474854,0
-47.891468,111,12.324223,-100.0,-1.631829023361206,0
-3.13853,70,12.429887,-100.0,-1.2023447751998901,0
-12.383618,91,12.568036,-100.0,-0.9881608486175537,0
-4.271436,67,12.672698,-100.0,-0.34832772612571716,0
-29.93281,99,12.85552,-100.0,-1.8784375190734863,0
-17.048833,83,12.989542,-100.0,-1.1220989227294922,0
-1.253602,66,13.128179,-100.0,-1.4063700437545776,0
-19.534081,105,13.313504,-100.0,-0.5997784733772278,0
-7.45692,80,13.442695,-100.0,-0.4120104908943176,0
-8.001822,113,13.711205,-100.0,-0.5020434856414795,0
-9.170443,97,13.879725,-100.0,-1.11405611038208,0
-10.099314,90,14.00965,-100.0,-0.49697375297546387,0
0.562561,62,14.102345,-100.0,-1.1942453384399414,0
-14.287068,94,15.414653,-100.0,-1.264573574066162,0
-12.539258,63,15.650517,-100.0,-1.451568841934204,0
-32.174905,134,15.955613,-100.0,-0.8113002777099609,0
-7.791898,75,16.068019,-100.0,-1.0787136554718018,0
-18.410177,87,16.201184,-100.0,-1.4186861515045166,0
4.662252,60,16.289521,-100.0,1.901134967803955,0
-0.909201,59,16.383026,-100.0,-1.361746072769165,0
-14.096857,56,16.46964,-100.0,-0.9200629591941833,0
-1.783364,58,16.554761,-100.0,-1.3529012203216553,0
-3.659353,61,16.645517,-100.0,-1.4311792850494385,0
-1.829427,96,16.789351,-100.0,-1.3996672630310059,0
-7.366516,68,16.891189,-100.0,-1.3001962900161743,0
-58.333596,110,17.052919,-100.0,-1.9315862655639648,0
-34.096811,108,18.309077,-100.0,-0.26947975158691406,0
5.042685,63,18.402867,-100.0,1.8301564455032349,0
-7.021713,74,18.514688,-100.0,-1.3203930854797363,0
-1.06695,63,18.604223,-100.0,1.7968662977218628,0
-30.219397,104,18.775835,-100.0,-0.3262364864349365,0
-21.752268,87,18.919044,-100.0,-0.7813330888748169,0
-1.036637,83,19.052996,-100.0,-1.2415690422058105,0
-5.507396,79,19.194639,-100.0,-0.2379547655582428,0
-2.158661,76,19.322353,-100.0,-1.3348500728607178,0
-13.317217,85,19.454943,-100.0,-1.0871297121047974,0
-19.266432,87,19.583507,-100.0,-1.6036548614501953,0
-7.529516,75,19.707518,-100.0,-1.2010796070098877,0
-5.291869,76,21.140311,-100.0,-0.258805513381958,0
-1.09712,65,21.230168,-100.0,1.888386845588684,0
-4.258477,54,21.307291,-100.0,-1.0636283159255981,0
-18.862713,91,21.430534,-100.0,-0.5226254463195801,0
-4.758473,82,21.558326,-100.0,-1.3037621974945068,0
-17.7214,73,21.6667,-100.0,-1.5629472732543945,0
-5.490005,58,21.75855,-100.0,-0.4508095681667328,0
6.791406,58,21.850436,-100.0,1.9664191007614136,0
-8.491852,84,21.975761,-100.0,-1.295469880104065,0
-6.588149,84,22.121931,-100.0,-1.3260935544967651,0
-20.47886,76,22.229984,-100.0,-0.9402177929878235,0
-26.559601,79,22.34891,-100.0,-0.9828023314476013,0
-1.72599,64,22.438254,-100.0,-1.453851580619812,0
-33.07665,111,22.601216,-100.0,-1.541001796722412,0
-3.876745,85,23.895784,-100.0,-1.387982964515686,0
-4.060994,91,24.063974,-100.0,-0.9437961578369141,0
-14.557609,78,24.240813,-100.0,-1.3117496967315674,0
-5.267506,70,24.43282,-100.0,-1.1403050422668457,0
-0.816461,80,24.622727,-100.0,-1.1620582342147827,0
-6.335054,80,24.789176,-100.0,-1.2570610046386719,0
-13.881185,88,24.945918,-100.0,-0.4552353620529175,0
-2.885066,57,25.037569,-100.0,-1.3349322080612183,0
-2.597197,73,25.180857,-100.0,-1.2039761543273926,0
-3.328578,84,25.321619,-100.0,-1.325535535812378,0
-0.832719,85,25.461302,-100.0,-1.1449089050292969,0
-2.147646,68,25.580181,-100.0,-1.392958641052246,0
-1.426059,67,25.763344,-100.0,-1.4158883094787598,0
-3.586331,67,27.200626,-100.0,-1.3127470016479492,0
-13.536834,100,27.366456,-100.0,-0.30076169967651367,0
3.196805,61,27.469455,-100.0,1.8198232650756836,0
-10.689384,78,27.590111,-100.0,-0.9018165469169617,0
-0.731061,58,27.672335,-100.0,-1.4538798332214355,0
-0.071521,64,27.773095,-100.0,-1.417102336883545,0
-0.633157,72,27.878603,-100.0,-0.10927043855190277,0
-0.875616,65,27.967602,-100.0,-1.1918702125549316,0
-8.42849,93,28.120491,-100.0,-1.3165061473846436,0
5.25296,64,28.211313,-100.0,1.884681224822998,0
-4.031392,65,28.302708,-100.0,-1.4352614879608154,0
-8.023941,91,28.444956,-100.0,0.8081320524215698,0
4.534571,56,28.526717,-100.0,1.9400173425674438,0
4.382162,58,28.607409,-100.0,1.9343830347061157,0
-15.448154,76,29.827078,-100.0,-1.603951334953308,0
-12.533604,88,29.955725,-100.0,-1.139533281326294,0
-1.817827,68,30.058787,-100.0,-1.2048780918121338,0
3.917659,57,30.147176,-100.0,1.8704524040222168,0
-1.064193,54,30.226772,-100.0,-0.9541483521461487,0
-8.132733,89,30.363547,-100.0,-1.2557275295257568,0
-2.317862,85,30.485175,-100.0,-1.4699842929840088,0
-8.163481,87,30.60985,-100.0,-1.4471712112426758,0
1.048458,82,30.75242,-100.0,-0.08449846506118774,0
3.881225,65,30.876362,-100.0,1.8912768363952637,0
-4.944338,98,31.069823,-100.0,-1.4263982772827148,0
-14.949749,94,31.231554,-100.0,-1.452231764793396,0
-10.353325,88,31.403746,-100.0,-1.1665351390838623,0
-6.217595,81,32.569746,-100.0,-1.3354544639587402,0
-13.834971,87,32.688416,-100.0,-0.9591296911239624,0
-9.177905,89,32.8136,-100.0,-1.6132252216339111,0
-5.217421,94,32.947634,-100.0,-1.4757726192474365,0
-6.276651,56,33.028505,-100.0,-1.315866470336914,0
-13.43921,80,33.148323,-100.0,-1.41105055809021,0
2.504616,71,33.248236,-100.0,-1.4368598461151123,0
-11.66012,86,33.394125,-100.0,-0.46742159128189087,0
-1.420565,53,33.478532,-100.0,-1.2907415628433228,0
-6.871405,92,33.60796,-100.0,-1.5175076723098755,0
-4.854764,76,33.716778,-100.0,-1.4355156421661377,0
1.516014,76,33.825165,-100.0,-1.4883135557174683,0
1.308418,55,33.900367,-100.0,-1.3462589979171753,0
-3.951591,75,34.006533,-100.0,-1.3613336086273193,0
5.733585,60,35.157046,-100.0,1.8213924169540405,0
4.050362,68,35.257348,-100.0,1.9102756977081299,0
-5.323544,84,35.380274,-100.0,1.8588531017303467,0
-4.7294,79,35.49609,-100.0,-0.12724286317825317,0
1.686682,56,35.570606,-100.0,-1.4348576068878174,0
4.009184,55,35.655282,-100.0,1.6532416343688965,0
4.041076,63,35.762161,-100.0,1.9727610349655151,0
-2.115493,51,35.843445,-100.0,-1.5119881629943848,0
2.174398,67,35.966076,-100.0,1.8791148662567139,0
2.915406,82,36.172559,-100.0,1.8686450719833374,0
