#{"t_start": 1782896767.7815073, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
9.090434,94,1.523663,-100.0,-0.14812421798706055,0
-0.84455,112,1.649596,-100.0,-0.17498187720775604,0
3.235289,81,1.736537,-100.0,-0.1284278929233551,0
6.895728,109,1.853219,-100.0,-0.05579172074794769,0
2.793914,101,1.965391,-100.0,-0.10944889485836029,0
9.52223,72,2.045502,-100.0,-0.10922113806009293,0
2.372442,102,2.154421,-100.0,-0.14752496778964996,0
8.028594,64,2.225276,-100.0,-0.12236732244491577,0
7.842066,79,2.306305,-100.0,0.5465438961982727,0
3.687479,92,2.40839,-100.0,-0.18868352472782135,0
4.105984,75,2.489185,-100.0,-0.15018580853939056,0
-1.790199,123,3.38232,-100.0,-0.1322755515575409,0
-5.440289,98,3.487662,-100.0,-0.02090013585984707,0
6.192608,71,3.557091,-100.0,-0.19424597918987274,0
8.385057,69,3.628172,-100.0,-0.16439789533615112,0
-0.579886,104,3.733978,-100.0,-0.12071944773197174,0
9.397911,59,3.792239,-100.0,-0.1352480947971344,0
9.021976,62,3.852563,-100.0,-0.15538987517356873,0
8.606521,102,3.951821,-100.0,-0.10124030709266663,0
8.521542,109,4.061469,-100.0,-0.15797114372253418,0
5.50885,69,4.132614,-100.0,-0.13933569192886353,0
8.265051,63,4.200622,-100.0,-0.1236085370182991,0
4.69,80,4.280015,-100.0,-0.10830577462911606,0
5.445476,96,5.125601,-100.0,-0.11873914301395416,0
2.457702,76,5.208124,-100.0,-0.15923753380775452,0
4.364089,114,5.321963,-100.0,-0.11849376559257507,0
8.219589,63,5.385723,-100.0,-0.2056351900100708,0
-0.655196,106,5.493913,-100.0,-0.24158528447151184,0
6.785064,85,5.580571,-100.0,-0.0771750807762146,0
0.737174,84,5.732347,-100.0,-0.229571133852005,0
6.071608,64,5.833436,-100.0,-0.1647280901670456,0
6.363042,92,5.935923,-100.0,-0.10628896951675415,0
5.737694,63,6.003291,-100.0,-0.1908511519432068,0
-0.677152,88,6.09166,-100.0,-0.10124523937702179,0
-4.249369,91,6.185352,-100.0,-0.005259912461042404,0
0.158997,114,7.057057,-100.0,-0.0736352801322937,0
3.669912,83,7.138963,-100.0,-0.23410770297050476,0
6.222937,120,7.25869,-100.0,0.13822312653064728,0
4.298898,106,7.364127,-100.0,-0.1150132566690445,0
5.083006,91,7.457165,-100.0,-0.11914581060409546,0
5.310096,80,7.54177,-100.0,-0.10812970995903015,0
5.938,66,7.610153,-100.0,-0.10819432884454727,0
6.627615,99,7.711125,-100.0,-0.0579071119427681,0
4.999131,74,7.785431,-100.0,-0.199994757771492,0
10.099497,66,7.852412,-100.0,-0.14821232855319977,0
10.48472,62,7.917813,-100.0,-0.1539144665002823,0
0.026971,94,8.010556,-100.0,-0.31720787286758423,0
7.554541,100,8.861127,-100.0,-0.1778707057237625,0
2.941781,80,8.944046,-100.0,-0.08720793575048447,0
-1.175224,136,9.078957,-100.0,-0.2043444812297821,0
-1.101595,109,9.193779,-100.0,-0.06189833581447601,0
7.171996,97,9.293502,-100.0,-0.043554775416851044,0
